"playerid","Name.1","Team.1","G.1","AB.1","PA.1","H.1","X1B.1","X2B.1","X3B.1","HR.1","R.1","RBI.1","BB.1","IBB.1","SO.1","HBP.1","SF.1","SH.1","GDP.1","SB.1","CS.1","AVG.1","Name.2","Team.2","G.2","AB.2","PA.2","H.2","X1B.2","X2B.2","X3B.2","HR.2","R.2","RBI.2","BB.2","IBB.2","SO.2","HBP.2","SF.2","SH.2","GDP.2","SB.2","CS.2","AVG.2"
1945,"Corey Hart","Brewers",81,306,338,88,46,19,2,21,44,65,28,2,70,2,2,0,6,4,3,0.288,"Corey Hart","Brewers",64,252,276,70,43,15,2,10,47,37,17,0,70,4,3,0,8,3,3,0.278
2090,"Alex Rios","White Sox",82,311,341,95,60,19,1,15,55,49,23,3,44,5,2,0,5,23,9,0.305,"Alex Rios","White Sox",65,256,276,66,48,10,2,6,34,39,15,1,49,2,3,0,16,11,5,0.258
2140,"Delmon Young","Twins",81,279,303,85,50,25,0,10,38,58,16,3,36,2,6,0,10,4,3,0.305,"Delmon Young","Twins",72,291,310,85,52,21,1,11,39,54,12,2,45,4,3,0,6,1,1,0.292
2154,"Ryan Howard","Phillies",87,344,377,101,65,15,4,17,55,65,26,6,86,5,2,0,6,0,1,0.294,"Ryan Howard","Phillies",56,206,243,51,28,8,1,14,32,43,33,5,71,3,1,0,8,1,0,0.248
2161,"Jason Kubel","Twins",80,276,316,73,47,14,1,11,31,49,35,3,58,1,4,0,9,0,0,0.264,"Jason Kubel","Twins",63,242,266,56,35,9,2,10,37,43,21,2,58,2,1,0,7,0,1,0.231
2234,"Kelly Johnson","Diamondbacks",83,312,365,86,47,23,2,14,52,43,49,1,77,1,2,1,5,8,3,0.276,"Kelly Johnson","Diamondbacks",71,273,306,80,52,13,3,12,41,28,30,0,71,1,0,2,7,5,4,0.293
2714,"Garrett Jones","Pirates",87,327,365,89,59,19,0,11,35,52,33,1,66,1,4,0,11,6,3,0.272,"Garrett Jones","Pirates",71,265,289,57,31,15,1,10,29,34,20,1,57,0,4,0,7,1,0,0.215
2918,"Angel Pagan","Mets",80,298,330,94,65,17,6,6,46,40,28,3,46,0,2,2,5,19,5,0.315,"Angel Pagan","Mets",71,281,303,74,54,14,1,5,34,29,16,2,51,1,1,4,4,18,4,0.263
3114,"Jose Lopez","Mariners",87,350,367,84,61,17,0,6,28,37,14,0,41,1,2,0,13,3,2,0.24,"Jose Lopez","Mariners",63,243,255,58,42,12,0,4,21,21,9,1,25,2,1,0,7,0,0,0.239
3174,"Shin-Soo Choo","Indians",78,301,354,86,57,14,2,13,48,43,48,4,59,4,1,0,6,12,4,0.286,"Shin-Soo Choo","Indians",66,249,292,79,53,17,0,9,33,47,35,7,59,7,1,0,5,10,3,0.317
3255,"Franklin Gutierrez","Mariners",84,312,352,80,58,11,3,8,35,36,36,3,78,0,4,0,6,10,1,0.256,"Franklin Gutierrez","Mariners",68,256,277,59,41,14,0,4,26,28,14,2,59,1,4,2,4,15,2,0.23
3269,"Robinson Cano","Yankees",87,342,378,115,74,23,2,16,61,58,27,7,40,5,4,0,9,2,2,0.336,"Robinson Cano","Yankees",73,284,318,85,53,18,1,13,42,51,30,7,37,3,1,0,10,1,0,0.299
3312,"Martin Prado","Braves",87,372,409,121,84,25,2,10,61,39,26,1,54,2,6,3,6,4,3,0.325,"Martin Prado","Braves",53,227,242,63,42,15,1,5,39,27,14,1,32,1,0,0,7,1,0,0.278
3336,"Alberto Callaspo","Royals",82,325,348,89,60,19,2,8,38,41,18,2,29,0,5,0,13,3,1,0.274,"Alberto Callaspo","- - -",64,237,253,60,50,8,0,2,23,15,13,1,13,1,1,1,9,2,2,0.253
3361,"Gaby Sanchez","Marlins",84,315,351,95,63,21,2,9,43,38,30,1,54,2,1,3,8,3,0,0.302,"Gaby Sanchez","Marlins",67,257,292,61,34,16,1,10,29,47,27,1,47,3,5,0,6,2,0,0.237
